title,rating,num_ratings,tags,actors
鬼灭之刃 柱训练篇,9.7,3396,[漫画改|奇幻|热血],[花江夏树|鬼头明里|下野纮|松冈祯丞|樱井孝宏|小西克幸|河西健吾|早见沙织|花泽香菜|铃村健一|关智一|杉田智和]
鬼灭之刃 刀匠村篇,9.2,7792,[漫画改|奇幻|热血|战斗],[花江夏树|鬼头明里|下野纮|松冈祯丞|河西健吾|花泽香菜|冈本信彦|古川登志夫|鸟海浩辅|山寺宏一]
鬼灭之刃 游郭篇,9.7,44000,[漫画改|热血|战斗|奇幻],[花江夏树|鬼头明里|下野纮|松冈祯丞|小西克幸|泽城美雪|逢坂良太]
鬼灭之刃 无限列车篇,9.8,54000,[漫画改|热血|战斗|奇幻],[花江夏树|鬼头明里|下野紘|松冈祯丞|日野聪|樱井孝宏|小西克幸|早见沙织|铃村健一|关智一|杉田智和|平川大辅|石田彰]
鬼灭之刃,9.7,404000,[漫画改|战斗|热血|声控],[花江夏树|鬼头明里|下野纮|松冈祯丞|樱井孝宏|大冢芳忠|梶裕贵|加隈亚衣|冈本信彦|森川智之|悠木碧|井泽诗织|浪川大辅|山崎巧|绿川光|子安武人]
咒术回战,9.7,236000,[漫画改|战斗|热血|奇幻],[榎木淳弥|内田雄马|濑户麻沙美|中村悠一|诹访部顺一|小松未可子|内山昂辉|关智一|津田健次郎|岩田光央|远藤绫|黑田崇矢|木村昴|井上麻里奈|赤崎千夏|麦人|山谷祥生|樱井孝宏|千叶繁|田中敦子|岛崎信长]
咒术回战 第二季,9.4,5190,[漫画改|热血|战斗|奇幻],[中村悠一|樱井孝宏|远藤绫|永濑安奈|子安武人]
间谍过家家,9.7,127000,[漫画改|战斗|搞笑|日常],[江口拓也|种崎敦美|早见沙织]
间谍过家家 第二季,9.7,4187,[漫画改|日常|搞笑],[江口拓也|种崎敦美|早见沙织|松田健一郎|吉野裕行|甲斐田裕子|山路和弘|小野贤章|藤原夏海|加藤英美里|佐仓绫音|松田健一郎]
关于我转生变成史莱姆这档事 第三季,6.1,1426,[小说改|战斗|奇幻],[冈咲美保|丰口惠美|前野智昭|古川慎|千本木彩花|M·A·O|江口拓也|大冢芳忠|山本兼平|泊明日菜|小林亲弘|山口太郎|福岛润|田中理惠|日高里菜]
间谍过家家 第二季 中配版,9.1,115,[漫画改|日常|搞笑],[旁白解说:任重|劳埃德:刘圣博|阿尼亚:蒋丽|约尔:萧清源|邦德:刘飞|尤里:钟巍|弗兰克:刘垚|亨德森:王衡|贝姬:徐慧|达米安:秦紫翼|管理官:徐慧|中尉:苏鑫|夜帷:钟可|花园店长:杨富禄|法西尔:黄骥|奥尔卡:王愫稣|参与配音的还有:孙畅、穆雪婷、李郝瑞、陈伟]
间谍过家家 中配版,8.9,1585,[漫画改|战斗|搞笑|日常],[旁白解说:任重|劳埃德:刘圣博|阿尼亚:蒋丽|约尔:萧清源|尤里:钟巍|弗兰克:刘垚|亨德森:王衡|贝姬:徐慧|达米安:秦紫翼|艾米尔:王愫稣|尤因:萧清源|参加配音的还有:苏鑫、许棕哲、穆雪婷、孙畅、黄骥、刘飞、杨富禄、陈伟]
辉夜大小姐想让我告白 -究极浪漫-,9.5,51000,[漫画改|搞笑|恋爱|校园],[古贺葵|古川慎|小原好美|铃木崚汰|富田美忧|花守由美里|铃代纱弓|麻仓桃|日高里菜|八代拓|市之濑加那|青山穰]
紫罗兰永恒花园,9.8,239000,[治愈|励志|职场|催泪],[石川由依|子安武人|浪川大輔|遠藤綾|内山昂輝|茅原実里|戸松遥]
关于我转生变成史莱姆这档事 第二季,8.9,227000,[架空|小说改|奇幻|战斗],[冈咲美保|丰口惠美|前野智昭|古川慎|千本木彩花|M·A·O|江口拓也|大冢芳忠|山本兼平|泊明日菜|小林亲弘|山口太郎|福岛润|田中理惠|日高里菜|春野杏|樱井孝宏]
间谍过家家 粤配版,9.6,2132,[漫画改|战斗|搞笑|日常],[郭俊廷|顾咏雪|杨婉潼|谭禹晋|罗婉枫]
工作细胞：细胞大作战,9.2,2189,[喜剧|动画],[花泽香菜|前野智昭|小野大辅|井上喜久子|长绳麻理亚|早见沙织|行成桃姬|小林裕介|吉田有里|高桥李依|藤原夏海|久保由利香|石田彰|能登麻美子]
国王排名,7.0,243000,[漫画改|冒险|励志|奇幻],[日向未南|村濑步|梶裕贵|佐藤利奈|江口拓也|上田燿司|安元洋贵|田所阳向|山下大辉|三宅健太|本田贵子|坂本真绫|下山吉光|樱井孝宏|游佐浩二]
小林家的龙女仆 第二季,9.6,33000,[漫画改|搞笑|日常|萌系],[田村睦心|桑原由气|长绳麻理亚|高田忧希|高桥未奈美|岭内智美|小野大辅|中村悠一	|加藤英美里|后藤邑子|石原夏织]
冰菓,9.8,83000,[恋爱|推理|校园|日常],[中村悠一|佐藤聪美|阪口大助|茅野爱衣|雪野五月|置鲇龙太郎|由加奈|小山茉美|早见沙织]
Re：从零开始的异世界生活 第二季 后半,9.9,180000,[小说改|穿越|奇幻|冒险],[小林裕介|高桥李依|内山夕实|水濑祈|村川梨衣|新井里美|子安武人|冈本信彦|天崎滉平|名冢佳织|高野麻里佳|田中爱美|能登麻美子|坂本真绫]
国王排名 勇气的宝箱,7.7,1188,[漫画改|冒险|励志|奇幻],[日向未南|村濑步|梶裕贵|佐藤利奈|江口拓也|上田燿司|安元洋贵|田所阳向|山下大辉|下山吉光|樱井孝宏|游佐浩二|坂本真绫]
小林家的龙女仆,9.7,69000,[萌系|搞笑|日常|漫画改],[田村睦心|桑原由气|长绳麻理亚|高田忧希|高桥未奈美|小野大辅|中村悠一|加藤英美里|后藤邑子]
青春猪头少年不会梦到兔女郎学姐,9.8,165000,[小说改|恋爱|奇幻|校园],[石川界人|濑户麻沙美|久保由利香|东山奈央|种崎敦美|内田真礼|水濑祈|内田雄马]
关于我转生变成史莱姆这档事 转生史莱姆日记,9.7,23000,[漫画改|日常|搞笑|穿越],[冈咲美保|古川慎|千本木彩花|M·A·O|江口拓也|大冢芳忠|柳田淳一|山本兼平|泊明日菜|小林亲弘|山口太郎|福岛润|大久保瑠美|田中理惠|日高里菜]
堀与宫村,9.8,163000,[漫画改|校园|恋爱|少女],[户松遥|内山昂辉|山下诚一郎|小坂井祐莉绘|冈本信彦|M·A·O|近藤玲奈|山下大辉|福山润|八代拓|千叶翔也|麻仓桃|小野大辅|茅野爱衣|寺崎裕香|金元寿子]
